Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
3,temperature,2015-01-25,10,24,C,156-4,WC,21,WC21,1,2599.91,11.52
4,temperature,2015-01-25,10,24,C,156-4,WC,15,WC15,1,1302.68,11.52
5,temperature,2015-01-25,10,24,C,156-4,ASW,21,ASW21,2,3362.19,15.44
6,temperature,2015-01-25,10,24,C,156-4,ASW,15,ASW15,2,2181.31,15.44
7,temperature,2015-01-25,10,24,C,156-4,WC,21,WC21,2,2928.63,11.52
8,temperature,2015-01-25,10,24,C,156-4,WC,15,WC15,2,1411.36,11.52
9,temperature,2015-01-25,10,24,C,156-4,ASW,21,ASW21,3,2986.34,15.44
10,temperature,2015-01-25,10,24,C,156-4,ASW,15,ASW15,3,2162.13,15.44
11,temperature,2015-01-25,10,24,C,156-4,WC,21,WC21,3,2965.39,11.52
12,temperature,2015-01-25,10,24,C,156-4,WC,15,WC15,3,1351.18,11.52
13,temperature,2015-01-25,10,24,C,168-16,ASW,21,ASW21,1,2249.6,15.44
14,temperature,2015-01-25,10,24,C,168-16,ASW,15,ASW15,1,2147.96,15.44
15,temperature,2015-01-25,10,24,C,168-16,WC,21,WC21,1,3374.41,11.52
16,temperature,2015-01-25,10,24,C,168-16,WC,15,WC15,1,2074.41,11.52
17,temperature,2015-01-25,10,24,C,168-16,ASW,21,ASW21,2,3292.23,15.44
18,temperature,2015-01-25,10,24,C,168-16,ASW,15,ASW15,2,1960.02,15.44
19,temperature,2015-01-25,10,24,C,168-16,WC,21,WC21,2,2959.03,11.52
20,temperature,2015-01-25,10,24,C,168-16,WC,15,WC15,2,2009.75,11.52
